7,gi|6325337|ref|NP_015405.1|,Translational elongation factor EF-1 alpha; also encoded by TEF2; functions in the binding reaction of aminoacyl-tRNA (AA-tRNA) to ribosomes; Tef1p [Saccharomyces cerevisiae] ,458,50033,9,o,Q,TEF1,YPR080W,XVI,25,228,0,25,228,228,46.72,0.00546583,32,1537,0,32,1537,1537,59.83,0.03435439,30,842,0,30,842,842,54.8,0.01652568,29,263,0,29,263,263,58.3,0.00631667,0.015666,4,32,545,0,32,545,545,57.64,0.01320902,30,487,0,30,487,487,54.37,0.01304518,27,575,0,27,575,575,54.59,0.01443166,30,1556,0,30,1556,1556,55.46,0.03553428,0.019055,4,31,840,0,31,840,840,54.15,0.01889209,29,585,0,29,585,585,58.3,0.01253835,32,1031,0,32,1031,1031,65.28,0.02393657,26,993,0,26,993,993,53.93,0.02522976,0.020149,4,32,981,0,32,981,981,68.56,0.0204577,33,1080,0,33,1080,1080,70.09,0.0230178,29,830,0,29,830,830,57.64,0.01744847,31,1045,0,31,1045,1045,62.01,0.02212584,0.020762,4,35,770,0,35,770,770,64.85,0.01511962,34,851,0,34,851,851,61.57,0.0189009,28,727,0,28,727,727,56.11,0.01861802,38,1425,0,38,1425,1425,72.49,0.02957412,0.020553,4,31,687,0,31,687,687,56.11,0.0131402,27,612,0,27,612,612,44.32,0.01190499,26,647,0,26,647,647,56.77,0.01354439,36,1312,0,36,1312,1312,64.19,0.0251471,0.015934,4,,
8,gi|6320255|ref|NP_010335.1|,"Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region; Tpi1p [Saccharomyces cerevisiae]",248,26795,6,o,Q,TPI1,YDR050C,IV,13,242,0,13,242,242,82.66,0.01071397,15,498,0,15,498,498,77.02,0.02055661,17,688,0,17,688,688,77.82,0.0249373,14,249,0,14,249,249,79.44,0.01104449,0.016813,4,16,345,0,16,345,345,81.45,0.01544212,14,338,0,14,338,338,81.05,0.01672059,13,157,0,13,157,157,84.27,0.00727716,15,433,0,15,433,433,77.02,0.01826163,0.014425,4,19,410,0,19,410,410,85.08,0.01702937,16,473,0,16,473,473,76.21,0.01872232,18,451,0,18,451,451,81.45,0.0193372,14,479,0,14,479,479,77.02,0.02247569,0.019391,4,16,371,0,16,371,371,82.26,0.01428814,14,304,0,14,304,304,79.03,0.01196541,17,467,0,17,467,467,81.45,0.01813051,13,239,0,13,239,239,81.05,0.00934534,0.013432,4,18,524,0,18,524,524,84.27,0.01900182,18,357,0,18,357,357,83.87,0.01464316,16,526,0,16,526,526,77.02,0.02487703,18,473,0,18,473,473,84.27,0.01812892,0.019163,4,13,581,0,13,581,581,63.31,0.02052274,13,306,0,13,306,306,76.61,0.01099291,13,538,0,13,538,538,83.47,0.02079941,15,353,0,15,353,353,82.26,0.01249518,0.016203,4,,
9,gi|6322989|ref|NP_013061.1|,"Ubiquitin, becomes conjugated to proteins, marking them for selective degradation via the ubiquitin-26S proteasome system; essential for the cellular stress response; encoded as a polyubiquitin precursor comprised of 5 head-to-tail repeats REDUCED TO ONE ",76,8557,7.2,o,Q,UBI4,YLL039C,XII,4,161,0,4,161,161,61.84,0.02325942,4,141,0,4,141,141,61.84,0.01899238,4,108,0,4,108,108,61.84,0.01277388,4,227,0,4,227,227,61.84,0.03285567,0.02197,4,4,64,0,4,64,64,61.84,0.00934773,4,27,0,4,27,27,61.84,0.0043585,5,202,0,5,202,202,64.47,0.03055284,3,101,0,3,101,101,44.74,0.01389988,0.01454,4,4,111,0,4,111,111,61.84,0.01504443,4,83,0,4,83,83,61.84,0.01072049,4,116,0,4,116,116,61.84,0.0162298,4,43,0,4,43,43,61.84,0.00658391,0.012145,4,4,151,0,4,151,151,61.84,0.01897652,4,75,0,4,75,75,61.84,0.00963281,4,68,0,4,68,68,61.84,0.0086147,4,65,0,4,65,65,61.84,0.00829371,0.011379,4,4,148,0,4,148,148,61.84,0.01751313,4,79,0,4,79,79,61.84,0.01057382,4,70,0,4,70,70,61.84,0.01080311,4,74,0,4,74,74,61.84,0.00925509,0.012036,4,4,186,0,4,186,186,61.84,0.02143928,3,173,0,3,173,173,44.74,0.02028036,4,231,0,4,231,231,61.84,0.02914197,5,188,0,5,188,188,64.47,0.0217152,0.023144,4,,
10,gi|6323073|ref|NP_013145.1|,"Major of three pyruvate decarboxylase isozymes, key enzyme in alcoholic fermentation, decarboxylates pyruvate to acetaldehyde; subject to glucose-, ethanol-, and autoregulation; involved in amino acid catabolism; Pdc1p [Saccharomyces cerevisiae] ",563,61495,6.2,o,Q,PDC1,YLR044C,XII,33,602,107,27,495,600.7234702,57.73,0.01171528,43,1051,260,35,791,1045.933333,71.94,0.0190182,43,879,220,35,659,877.833471,66.07,0.01401575,41,1256,249,33,1007,1254.202956,74.96,0.02450516,0.017314,4,39,642,176,32,466,640.4394904,68.21,0.01262727,42,827,219,32,608,824.9480519,71.4,0.01797648,38,1050,242,31,808,1048.351064,66.96,0.02140485,43,1000,296,33,704,994.2704577,71.05,0.01847139,0.01762,4,43,844,149,35,695,841.6129944,69.63,0.01539821,42,701,193,33,508,696.7738982,74.07,0.01214881,47,919,340,36,579,913.3756345,75.31,0.01725082,37,862,310,28,552,857.7651246,67.32,0.0177292,0.015632,4,44,726,173,35,553,723.3327465,71.76,0.01227109,43,675,132,34,543,673.2725632,75.31,0.01167315,40,823,231,32,592,819.9221285,66.07,0.01402197,45,775,211,35,564,772.0731707,72.29,0.01329839,0.012816,4,44,813,209,35,604,810.1661238,71.4,0.0129414,46,753,165,35,588,751.5336237,72.29,0.01357871,40,753,173,32,580,751.3809524,68.74,0.01565367,46,853,259,36,594,849.5544554,72.47,0.01434317,0.014129,4,42,1093,205,34,888,1091.841871,68.74,0.01698878,38,1382,459,30,923,1378.310686,60.39,0.02181131,37,881,238,30,643,879.4098613,63.41,0.01497626,48,990,182,39,808,989.1449631,70.87,0.01542308,0.0173,4,,
11,gi|6324486|ref|NP_014555.1|,"Alcohol dehydrogenase, fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway; Adh1p [Saccharomyces cerevisiae] ",348,36849,6.7,o,Q,ADH1,YOL086C,XV,17,274,149,12,125,273.5436375,50.86,0.00863046,20,544,344,14,200,543.1882232,60.92,0.01597883,17,408,292,11,116,407.8016116,56.9,0.01053373,17,123,76,11,47,114.4571429,52.59,0.00361794,0.00969,4,16,240,144,11,96,239.4683358,49.43,0.00763851,20,286,159,12,127,285.4785597,59.2,0.01006423,19,282,167,11,115,278.8592757,62.36,0.00921127,15,352,246,9,106,351.203271,52.59,0.01055559,0.009367,4,16,234,132,10,102,233.7881087,50.57,0.00692005,14,412,312,9,100,404.41962,54.6,0.01140783,17,336,186,11,150,327.8414846,58.62,0.01001736,14,342,217,8,125,341.4615385,52.59,0.01141805,0.009941,4,18,476,270,12,206,468.4673297,56.9,0.01285741,16,360,185,10,175,353.1808189,58.62,0.00990657,16,256,171,10,85,253.9493831,51.72,0.00702607,19,414,154,13,260,412.6727163,59.77,0.01149941,0.010322,4,20,519,346,14,173,518.726776,60.63,0.01340525,15,411,222,9,189,407.1255682,48.85,0.01190056,15,443,224,9,219,442.8141593,55.75,0.01492474,19,503,271,13,232,493.4432287,60.34,0.01347784,0.013427,4,18,363,199,12,164,362.9035414,57.76,0.0091353,15,457,290,10,167,456.6012319,54.02,0.01168963,17,303,175,11,128,303,59.48,0.00834803,20,263,171,14,92,261.5466782,60.63,0.00659765,0.008943,4,,
12,gi|6324027|ref|NP_014097.1|;gi|6324451|ref|NP_014520.1|,"Protein component of the small (40S) ribosomal subunit, required for assembly and maturation of pre-40 S particles; mutations in human RPS19 are associated with Diamond Blackfan anemia; nearly identical to Rps19Ap; Rps19bp [Saccharomyces cerevisiae] ",144,15891,9.6,o,Q,RPS19B,YNL302C,XIV,10,182,0,0,182,182,59.72,0.013877,7,184,0,0,184,184,47.92,0.01308064,10,192,0,0,192,192,64.58,0.01198537,8,259,0,0,259,259,50.69,0.01978497,0.014682,4,10,102,0,0,102,102,59.72,0.0078628,8,106,0,0,106,106,54.86,0.00903088,8,231,0,0,231,231,54.86,0.0184401,8,122,0,0,122,122,52.78,0.00886137,0.011049,4,6,102,0,0,102,102,35.42,0.00729632,8,127,0,0,127,127,52.78,0.00865748,7,121,0,0,121,121,52.78,0.00893494,7,118,0,0,118,118,52.08,0.00953562,0.008606,4,7,97,0,0,97,97,40.97,0.00643373,10,103,0,0,103,103,59.72,0.00698201,10,154,0,0,154,154,59.72,0.01029682,8,117,0,0,117,117,47.92,0.00787902,0.007898,4,9,178,0,0,178,178,54.86,0.01111663,9,94,1,0,93,93,54.86,0.0065696,8,100,0,0,100,100,56.94,0.0081452,6,93,0,0,93,93,47.92,0.00613879,0.007993,4,9,84,0,0,84,84,54.86,0.00511008,6,135,0,0,135,135,45.83,0.00835246,5,98,0,0,98,98,43.06,0.00652505,11,152,0,0,152,152,65.28,0.00926618,0.007313,4,,
13,gi|6323278|ref|NP_013350.1|,"Translational elongation factor 3, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing EF-1 alpha from the ribosomal complex; contains two ABC cassettes; binds and hydrolyses ATP; Yef3p [Saccharomyces cerevisiae] ",1044,115945,6,o,Q,YEF3,YLR249W,XII,60,483,93,51,390,482.2900763,53.26,0.00507218,70,934,37,63,897,933.8766667,65.8,0.0091572,67,1159,54,61,1105,1158.902439,60.25,0.00997836,56,552,74,48,478,551.3858921,59.96,0.00580969,0.007504,4,75,922,91,64,831,921.5640719,66.57,0.00979861,72,1397,115,61,1282,1396.910366,67.62,0.01641552,65,441,125,55,316,437.4625,67.05,0.00481675,76,1704,119,70,1585,1703.775189,65.13,0.01706928,0.012025,4,76,1403,174,66,1229,1402.154656,66.86,0.01383444,75,1712,122,65,1590,1711.846734,65.9,0.01609587,82,1114,120,71,994,1113.638917,69.54,0.0113426,81,1800,147,72,1653,1799.38012,67.72,0.02005634,0.015332,4,68,563,36,60,527,562.7288136,66.28,0.00514816,65,579,35,58,544,578.8717949,66.76,0.00541237,65,467,24,57,443,466.838565,61.21,0.00430537,59,616,32,52,584,615.890785,61.11,0.00572074,0.005147,4,69,938,58,61,880,937.8684807,64.27,0.00807899,71,863,52,62,811,862.6181151,66,0.00840498,61,871,36,53,835,870.9569378,66.19,0.009785,74,815,48,63,767,814.7509728,67.53,0.007418,0.008422,4,63,1150,55,56,1095,1149.899727,66.09,0.00964873,58,622,79,49,543,621.7100917,57.47,0.00530555,56,1176,81,49,1095,1175.926095,62.16,0.01079941,82,1116,53,72,1063,1115.900469,72.03,0.00938306,0.008784,4,,
14,gi|86558907|ref|NP_012211.2|,"Constitutively expressed isoform of DL-glycerol-3-phosphatase; involved in glycerol biosynthesis, induced in response to both anaerobic and, along with the Hor2p/Gpp2p isoform, osmotic stress; Rhr2p [Saccharomyces cerevisiae] ",250,27947,5.6,o,Q,RHR2,YIL053W,IX,14,236,30,10,206,235.8550725,64,0.01035838,13,78,15,10,63,77.31818182,63.6,0.00316603,13,297,12,10,285,296.875,62.8,0.01067447,9,114,10,7,104,114,57.2,0.00501606,0.007304,4,16,355,27,12,328,354.9179331,65.2,0.01575896,14,194,17,11,177,194,64.8,0.00952025,14,154,16,11,138,154,58,0.007081,14,199,17,11,182,199,64.8,0.00832562,0.010171,4,15,245,14,12,231,244.8798283,64.8,0.01008972,13,149,5,11,144,149,62.4,0.00585055,16,210,26,13,184,192,74.4,0.00816639,10,219,7,8,212,219,58.8,0.01019374,0.008575,4,13,102,5,12,97,101.7087379,57.6,0.00388572,16,62,7,12,55,61.52542373,75.2,0.00240226,12,160,7,10,153,159.7358491,59.2,0.00615187,14,105,11,11,94,104.5510204,63.2,0.00405543,0.004124,4,16,443,18,11,425,442.5862069,66,0.01592111,14,294,18,12,276,293.8705036,63.2,0.01195733,15,344,34,13,310,343.2492114,70.4,0.01610401,15,390,13,12,377,389.8298429,71.6,0.01482168,0.014701,4,15,471,28,12,443,470.9369369,64.8,0.01650189,11,145,14,8,131,145,63.2,0.00516739,14,372,12,11,360,372,64,0.0142667,14,277,22,10,255,277,62,0.00972656,0.011416,4,,
15,gi|6323004|ref|NP_013076.1|,"ATP binding protein involved in protein folding and vacuolar import of proteins; member of heat shock protein 70 (HSP70) family; associated with the chaperonin-containing T-complex; present in the cytoplasm, vacuolar membrane and cell wall; Ssa2p [Sacchar",639,69470,5.1,o,Q,SSA2,YLL024C,XII,46,624,579,13,45,364.888017,68.23,0.00626968,54,613,495,17,118,462.3389081,79.5,0.00740685,50,731,623,16,108,492.8707855,72.93,0.00693338,38,798,733,10,65,501.3689881,66.35,0.00863087,0.00731,4,51,809,690,18,119,656.1912063,71.67,0.01139906,55,1040,883,19,157,894.4653937,72.93,0.01717312,46,633,559,12,74,555.6437267,70.58,0.00999561,53,832,711,16,121,737.7885723,73.71,0.01207631,0.012661,4,52,927,843,18,84,645.6265976,76.84,0.01040751,51,859,746,18,113,675.0714322,70.58,0.01037048,52,599,533,17,66,443.5031754,75.59,0.00738014,48,822,733,15,89,635.9104447,69.17,0.01158042,0.009935,4,46,632,585,12,47,270.8964867,70.89,0.00404908,47,648,595,13,53,281.9762698,68.08,0.00430742,49,819,754,15,65,405.6576313,70.89,0.00611228,49,725,663,14,62,320.1662246,73.4,0.00485874,0.004832,4,54,579,509,14,70,377.9968985,74.96,0.00531989,47,643,526,14,117,517.5410871,71.83,0.00823877,46,606,517,17,89,461.6339649,69.95,0.00847347,53,700,579,19,121,557.0510959,70.58,0.00828622,0.00758,4,54,997,819,18,178,903.3697592,72.46,0.01238442,49,1254,1135,15,119,1018.719227,72.77,0.01420354,48,1013,820,16,193,937.8976013,72.46,0.01407262,67,1015,792,23,223,913.2280044,77.15,0.01254579,0.013302,4,,
16,gi|6320359|ref|NP_010439.1|,"Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A; Cpr1p [Saccharomyces cerevisiae] ",162,17391,7.5,o,Q,CPR1,YDR155C,IV,9,103,0,9,103,103,43.83,0.00698086,10,143,0,10,143,143,53.09,0.00903639,12,234,0,12,234,234,53.09,0.01298415,6,59,0,6,59,59,32.72,0.00400622,0.008252,4,9,108,1,9,107,107,43.83,0.00733176,9,78,0,9,78,78,50.62,0.00590699,10,106,0,10,106,106,50.62,0.0075215,9,126,2,9,124,124,50.62,0.0080059,0.007192,4,8,113,0,8,113,113,46.91,0.00718505,12,155,0,12,155,155,53.09,0.00939219,9,99,0,9,99,99,50.62,0.00649814,8,103,0,8,103,103,50,0.00739863,0.007619,4,9,151,0,9,151,151,50.62,0.00890257,9,174,0,9,174,174,50.62,0.01048431,12,128,0,12,128,128,50.62,0.00760746,10,99,0,10,99,99,50.62,0.0059261,0.00823,4,10,159,0,10,159,159,53.09,0.00882669,10,91,0,10,91,91,50.62,0.00571406,7,128,0,7,128,128,46.91,0.00926743,9,92,1,9,91,91,46.91,0.00533935,0.007287,4,10,212,0,10,212,212,50.62,0.01146388,8,290,0,8,290,290,50.62,0.01594873,8,136,0,8,136,136,46.91,0.00804905,9,196,0,9,196,196,50.62,0.01062088,0.011521,4,,
17,gi|6322468|ref|NP_012542.1|,"Glyceraldehyde-3-phosphate dehydrogenase, isozyme 2, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell-wall; Tdh2p [Saccharomyces ",332,35847,7,o,Q,TDH2,YJR009C,X,37,885,742,8,143,304.2579379,88.55,0.01006214,36,1156,1017,8,139,274.8971383,75,0.00847629,37,1196,993,7,203,355.1013227,82.23,0.0096145,28,1257,1055,5,202,393.9403019,69.58,0.0130524,0.010301,4,37,802,609,8,193,314.4803665,69.88,0.01051466,34,857,719,7,138,255.3215808,84.34,0.00943487,30,1012,938,5,74,203.8246019,70.48,0.0070572,32,972,807,8,165,308.225938,77.41,0.00971034,0.009179,4,36,910,671,9,239,375.3511637,82.53,0.01164571,30,815,693,4,122,204.6183601,70.48,0.00605002,29,621,502,7,119,193.6096095,71.69,0.00620094,29,869,712,7,157,259.0582965,66.57,0.00908006,0.008244,4,35,650,589,9,61,102.6456357,83.43,0.00295295,30,643,579,6,64,112.4440222,79.82,0.00330601,31,700,547,6,153,236.6309151,66.57,0.00686243,31,655,592,7,63,106.3949408,84.94,0.00310765,0.004057,4,39,1250,1020,9,230,444.735022,84.64,0.012047,30,944,795,6,149,277.2792634,81.93,0.00849567,34,1076,972,6,104,252.6325494,80.12,0.00892515,36,1072,892,8,180,328.8580732,82.23,0.00941527,0.009721,4,34,1265,1198,5,67,158.8838587,68.37,0.0041923,30,1355,1266,4,89,183.1818717,71.69,0.00491572,28,1172,1074,5,98,210.2960486,74.7,0.00607314,40,1298,1230,8,68,178.457467,86.14,0.00471863,0.004975,4,,
18,gi|6324707|ref|NP_014776.1|,"Elongation factor 2 (EF-2), also encoded by EFT2; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin; Eft1p [Saccharo",842,93289,6.3,o,Q,EFT1,YOR133W,XV,51,386,0,51,386,386,55.94,0.0050334,59,615,0,59,615,615,68.17,0.00747716,61,713,0,61,713,713,69.71,0.00761185,46,606,0,46,606,606,63.42,0.00791696,0.00701,4,60,577,0,60,577,577,65.91,0.00760682,56,676,0,56,676,676,68.05,0.00984966,46,592,0,46,592,592,61.88,0.00808209,57,752,0,57,752,752,67.81,0.00934134,0.00872,4,58,662,0,58,662,662,63.9,0.00809864,56,750,0,56,750,750,68.29,0.00874378,64,705,0,64,705,705,71.73,0.00890319,58,716,0,58,716,716,68.88,0.00989533,0.00891,4,61,556,0,61,556,556,72.45,0.0063069,60,683,0,60,683,683,71.85,0.00791798,58,555,0,58,555,555,66.15,0.00634637,62,609,0,62,609,609,73.28,0.00701381,0.006896,4,55,627,0,55,627,627,70.31,0.00669686,66,679,0,66,679,679,71.97,0.00820306,48,586,0,48,586,586,64.61,0.008163,64,760,0,64,760,760,72.09,0.00857954,0.007911,4,56,524,0,56,524,524,71.26,0.00545168,41,718,0,41,718,718,56.65,0.00759723,45,808,0,45,808,808,60.69,0.00920068,54,538,0,54,538,538,68.17,0.00560906,0.006965,4,,
19,gi|6323763|ref|NP_013834.1|,G-protein beta subunit and guanine nucleotide dissociation inhibitor for Gpa2p; ortholog of RACK1 that inhibits translation; core component of the small (40S) ribosomal subunit; represses Gcn4p in the absence of amino acid starvation; Asc1p [Saccharomyces,319,34805,6.2,o,Q,ASC1,YMR116C,XIII,20,201,0,20,201,201,65.83,0.00691818,18,336,0,18,336,336,79.94,0.01078257,23,296,0,23,296,296,74.92,0.00834091,20,191,0,20,191,191,65.83,0.00658629,0.008157,4,20,267,0,20,267,267,72.41,0.00929095,19,202,0,19,202,202,72.1,0.00776868,17,239,0,17,239,239,65.83,0.00861234,22,309,0,22,309,309,82.45,0.01013144,0.008951,4,20,200,0,20,200,200,80.25,0.00645811,19,254,0,19,254,254,79.94,0.00781616,20,221,0,20,221,221,80.56,0.00736666,20,238,0,20,238,238,72.1,0.00868192,0.007581,4,19,266,0,19,266,266,80.25,0.00796424,18,243,0,18,243,243,80.25,0.00743569,19,221,0,19,221,221,79,0.00667032,20,260,0,20,260,260,80.25,0.00790372,0.007493,4,23,228,0,23,228,228,82.76,0.00642776,21,242,1,21,241,241,80.25,0.00768502,20,197,0,20,197,197,80.25,0.00724336,19,273,0,19,273,273,79.94,0.00813457,0.007373,4,17,176,1,17,175,175,72.1,0.00480572,15,296,0,15,296,296,70.22,0.00826693,16,199,0,16,199,199,71.79,0.00598113,19,274,0,19,274,274,82.76,0.00754014,0.006648,4,,
20,gi|6319315|ref|NP_009398.1|,"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; Efb1p [Saccharomyces cerevisiae",206,22627,4.4,o,Q,EFB1,YAL003W,I,10,114,0,10,114,114,52.43,0.00607609,13,79,0,13,79,79,64.08,0.00392585,12,101,0,12,101,101,63.59,0.00440724,11,147,0,11,147,147,64.08,0.00784961,0.005565,4,13,78,0,13,78,78,58.74,0.00420307,16,104,0,16,104,104,66.99,0.00619374,11,162,0,11,162,162,53.4,0.00903986,12,124,0,12,124,124,59.71,0.0062959,0.006433,4,15,137,0,15,137,137,63.59,0.00685046,15,177,0,15,177,177,58.74,0.00843444,16,207,0,16,207,207,67.48,0.01068494,13,206,0,13,206,206,58.74,0.01163668,0.009402,4,14,171,0,14,171,171,71.84,0.00792834,15,114,0,15,114,114,64.56,0.00540186,14,175,0,14,175,175,58.74,0.00817929,14,159,0,14,159,159,63.11,0.00748478,0.007249,4,15,118,4,15,114,114,63.59,0.00497683,15,93,0,15,93,93,64.08,0.00459234,13,124,0,13,124,124,58.74,0.00706023,16,141,0,16,141,141,64.08,0.006506,0.005784,4,12,101,0,12,101,101,63.11,0.00429502,9,166,0,9,166,166,59.22,0.00717933,12,72,0,12,72,72,62.14,0.00335109,14,207,0,14,207,207,64.08,0.0088211,0.005912,4,,
21,gi|6324534|ref|NP_014603.1|,"Ribosomal protein P2 alpha, a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm; Rpp2ap [Saccharomyces ce",106,10746,4,o,S,RPP2A,YOL039W,XV,3,106,0,3,106,106,41.51,0.0109796,4,58,0,4,58,58,52.83,0.00560139,5,97,0,5,97,97,52.83,0.00822581,5,126,0,5,126,126,52.83,0.01307563,0.009471,4,5,41,0,5,41,41,52.83,0.00429356,5,37,0,5,37,37,52.83,0.00428235,4,96,0,4,96,96,52.83,0.01041068,4,85,0,4,85,85,52.83,0.00838719,0.006843,4,3,59,0,3,59,59,41.51,0.0057334,5,112,0,5,112,112,52.83,0.010372,5,48,0,5,48,48,52.83,0.00481509,5,80,0,5,80,80,52.83,0.0087824,0.007426,4,4,27,0,4,27,27,52.83,0.00243283,5,33,0,5,33,33,52.83,0.00303888,5,50,0,5,50,50,52.83,0.0045416,5,42,0,5,42,42,52.83,0.00384231,0.003464,4,4,71,0,4,71,71,41.51,0.00602377,5,99,0,5,99,99,52.83,0.00950053,4,49,0,4,49,49,52.83,0.00542194,4,47,0,4,47,47,52.83,0.00421458,0.00629,4,4,24,0,4,24,24,52.83,0.00198343,4,77,0,4,77,77,52.83,0.00647184,5,96,0,5,96,96,52.83,0.00868332,4,123,0,4,123,123,41.51,0.01018636,0.006831,4,,
22,gi|6322697|ref|NP_012770.1|,"Tetrameric phosphoglycerate mutase, mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis; Gpm1p [Saccharomyces cerevisiae] ",247,27609,8.8,o,Q,GPM1,YKL152C,XI,13,82,0,13,82,82,55.47,0.00364505,18,200,0,18,200,200,73.68,0.00828909,16,202,0,16,202,202,63.97,0.00735135,14,123,0,14,123,123,61.94,0.0054778,0.006191,4,15,114,0,15,114,114,66.8,0.00512327,16,99,0,16,99,99,62.75,0.00491728,15,160,0,15,160,160,62.35,0.00744624,15,119,0,15,119,119,62.75,0.0050391,0.005631,4,14,121,0,14,121,121,59.92,0.00504609,15,96,0,15,96,96,62.35,0.00381526,15,119,0,15,119,119,62.35,0.00512293,14,91,0,14,91,91,62.35,0.0042872,0.004568,4,20,197,0,20,197,197,69.64,0.00761768,17,171,0,17,171,171,64.37,0.00675779,14,244,0,14,244,244,63.16,0.00951125,18,181,0,18,181,181,72.06,0.00710609,0.007748,4,17,160,0,17,160,160,64.37,0.00582557,16,123,0,16,123,123,63.97,0.00506555,14,116,0,14,116,116,62.35,0.0055084,18,155,1,18,154,154,63.56,0.00592633,0.005581,4,15,215,0,15,215,215,62.35,0.00762522,15,278,0,15,278,278,62.35,0.01002746,17,192,0,17,192,192,68.42,0.00745289,21,321,0,21,321,321,79.35,0.01140848,0.009129,4,,
23,gi|6323613|ref|NP_013684.1|,"Ubiquitous housekeeping thioredoxin peroxidase, reduces reactive oxygen, nitrogen and sulfur species using thioredoxin as hydrogen donor; mediates redox regulation of the nuclear localization of Yap1p; deletion results in mutator phenotype; Tsa1p [Sacchar",196,21590,5.1,i34-56o,Q,TSA1,YML028W,XIII,10,66,0,10,66,66,54.08,0.00369721,10,89,0,10,89,89,58.16,0.00464845,8,109,0,8,109,109,52.55,0.004999,12,158,0,12,158,158,75,0.00886746,0.005553,4,12,57,0,12,57,57,61.73,0.00322819,10,79,0,10,79,79,70.92,0.0049449,11,143,0,11,143,143,74.49,0.00838675,13,92,0,13,92,92,72.45,0.00490948,0.005367,4,10,55,0,10,55,55,58.16,0.0028905,12,78,0,12,78,78,74.49,0.00390651,9,121,0,9,121,121,68.88,0.00656445,9,70,0,9,70,70,53.06,0.00415596,0.004379,4,14,222,0,14,222,222,68.37,0.01081808,14,216,0,14,216,216,76.02,0.0107573,10,238,0,10,238,238,54.59,0.01169138,14,245,0,14,245,245,75,0.01212157,0.011347,4,10,86,0,10,86,86,54.08,0.00394601,10,73,0,10,73,73,66.84,0.00378866,10,66,0,10,66,66,79.08,0.00394959,12,87,0,12,87,87,74.49,0.00421916,0.003976,4,9,109,0,9,109,109,66.84,0.00487171,10,213,0,10,213,213,56.63,0.00968203,9,120,0,9,120,120,54.08,0.0058701,11,131,0,11,131,131,58.16,0.00586725,0.006573,4,,
24,gi|6322912|ref|NP_012985.1|,"Translation initiation factor eIF4A, identical to Tif2p; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G; Tif1p [Saccharomyc",395,44697,5.1,o,Q,TIF1,YKR059W,XI,31,200,0,31,200,200,62.78,0.00555929,28,281,2,28,279,279,57.47,0.00723071,26,195,0,26,195,195,58.99,0.00443762,23,233,0,23,233,233,59.49,0.00648869,0.005929,4,31,193,0,31,193,193,58.99,0.00542375,23,123,0,23,123,123,56.46,0.00382027,23,199,0,23,199,199,58.73,0.00579122,24,181,0,24,181,181,60,0.00479275,0.004957,4,26,183,0,26,183,183,59.24,0.00477222,28,222,0,28,222,222,54.43,0.00551704,30,175,0,30,175,175,59.49,0.00471096,26,173,0,26,173,173,58.99,0.00509657,0.005024,4,29,301,0,29,301,301,65.32,0.00727818,26,285,0,26,285,285,56.46,0.00704293,30,211,0,30,211,211,61.52,0.00514316,30,303,0,30,303,303,60.51,0.00743866,0.006726,4,31,288,0,31,288,288,60.76,0.00655709,30,237,0,30,237,237,59.75,0.00610337,28,218,0,28,218,218,58.73,0.00647327,26,279,0,26,279,279,62.78,0.00671382,0.006462,4,27,332,0,27,332,332,60,0.00736295,24,336,0,24,336,336,56.71,0.00757853,27,307,0,27,307,307,57.47,0.00745181,30,352,0,30,352,352,62.28,0.00782285,0.007554,4,,
